directors.director_name
Quentin Tarantino
Gregory Read
Kurt Wimmer
Gareth Edwards
Paul Feig
Jim Sharman
Terry Jones
John G. Avildsen
John Carpenter
James L. Brooks
Wolfgang Petersen
Joel Schumacher
Mel Brooks
Agnieszka Holland
Lasse Hallström
Iain Softley
Peter MacDonald
Tony Bancroft
Barry Cook
Dominic Sena
Kevin Smith
Joel Gallen
Lee Tamahori
John Singleton
Peter Segal
Rob Schmidt
Terry Zwigoff
Brad Silberling
Kelly Asbury
Andrew Douglas
Adam Shankman
George A. Romero
Mark Neveldine
Brian Taylor
Nicholaus Goossen
Jonathan Dayton
Valerie Faris
Paul McGuigan
Mel Gibson
Juan Carlos Fresnadillo
Kirsten Sheridan
Gabor Csupo
Matt Reeves
Oren Peli
Robert Luketic
Byron Howard
Chris Williams
Eric Brevig
Shane Acker
Peter Cornwell
Dennis Iliadis
Grant Heslov
Rob Letterman
Nick Cassavetes
Christian Alvart
George Tillman Jr.
Steve Pink
Paul Weitz
Ethan Maniquis
Alexandre Aja
Jon Turteltaub
Tim Hill
Raja Gosnell
Chris Gorak
Craig Gillespie
George Miller
Gary Eck
David Peers
Matthijs van Heijningen Jr.
Alex Kurtzman
Peter Lord
Jeff Newitt
Shane Carruth
Susanne Bier
Ben Wheatley
John Gulager
David Cronenberg
Ken Loach
Wayne Thornley
Morgan O'Neill
Tom Vaughan
Dustin Hoffman
Josh Radnor
Nick Love
Adrian Grunberg
April Mullen
Declan O'Brien
James Marsh
Evan Oppenheimer
Lynne Ramsay
Derick Martini
Paolo Sorrentino
Mike Cahill
Lars von Trier
Eli Craig
David Lynch
Larry Clark
John Landis
Wes Ball
José Padilha
Dean Parisot
Branden Chambers
Eric D. Chambers
Michael Cimino
Steven Lisberger
Hugh Wilson
Jim Henson
Leonard Nimoy
Renny Harlin
Steve Barron
Jonathan Lynn
Martin Brest
Henry Selick
Kevin Reynolds
John McNaughton
Stephen Norrington
Danny Leiner
Mark Dindal
John Woo
Gary Trousdale
Kirk Wise
Corey Yuen
Clark Johnson
Jonathan Mostow
Jonathan Hensleigh
Alexander Witt
Garth Jennings
Tim Johnson
Karey Kirkpatrick
Jason Reitman
Stefen Fangmeier
Mikael Håfström
Jason Friedberg
Aaron Seltzer
Gregory Hoblit
Mark Steven Johnson
Peter Webber
Stephen J. Anderson
Raman Hui
Jimmy Hayward
Lone Scherfig
Karyn Kusama
Kevin Macdonald
Charles Guard
Thomas Guard
Wes Anderson
Olatunde Osunsanmi
Spike Jonze
Anton Corbijn
Lisa Cholodenko
Gary Winick
Samuel Bayer
Jesse Peretz
Steven Quale
Oliver Parker
Todd Strauss-Schulson
Todd Lincoln
Salim Akil
Jackie Chan
Matthew Spradlin
Damian Lee
Mitchell Altieri
Phil Flores
Jonas Åkerlund
James Ponsoldt
Brian Dannelly
Elliott Lester
Jim Field Smith
Roman Polanski
Ti West
Ben Palmer
Ralph Fiennes
Stuart Beattie
Gregor Jordan
Steven R. Monroe
James Rabbitts
Howard McCain
Lexi Alexander
Richard Schenkman
David Slade
Todd Field
Harold Ramis
Richard Lester
John Badham
Joe Dante
Jeremiah S. Chechik
Phil Alden Robinson
Howard Zieff
Robert De Niro
Andrew Davis
Chuck Russell
Jan de Bont
Tamra Davis
Joe Pytka
Jean-Pierre Jeunet
Don Bluth
Gary Goldman
Nancy Meyers
John Frankenheimer
James Wong
Peyton Reed
Mimi Leder
Sharon Maguire
Jessie Nelson
Rod Lurie
Alejandro Amenábar
Thomas Carter
Tom Brady
Andy Tennant
Jesse Dylan
Dennie Gordon
Marcus Nispel
David S. Goyer
Bibo Bergeron
Kevin Bray
Mike Johnson
John Stockwell
Roger Kumble
Rob McKittrick
Steve 'Spaz' Williams
Susannah Grant
Warren Coleman
Judy Morris
Steve Hickner
Simon J. Smith
Chris Weitz
Bruce A. Evans
Russell Mulcahy
Mathieu Kassovitz
Roger Donaldson
Neil Marshall
Neil LaBute
David Frankel
Peter Sollett
Jennifer Flackett
Mark Levin
Dave Filoni
Bryan Bertino
Kevin Tancharoen
Hoyt Yeatman
Patrick Tatopoulos
Michael Spierig
Peter Spierig
Jim Sheridan
Ricky Gervais
Matthew Robinson
Richard Curtis
Breck Eisner
John Erick Dowdle
Julie Anne Robinson
