title
Pulp Fiction
The Amazing Spider-Man 2
The Shawshank Redemption
Star Wars: Episode IV - A New Hope
Back to the Future
The Breakfast Club
The Goonies
The Silence of the Lambs
Jurassic Park
The Lion King
Se7en
Toy Story
The Big Lebowski
Saving Private Ryan
Fight Club
The Matrix
Star Wars: Episode I - The Phantom Menace
Gladiator
X-Men
Harry Potter and the Philosopher's Stone
The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings: The Two Towers
xXx
Finding Nemo
The Lord of the Rings: The Return of the King
Anchorman: The Legend of Ron Burgundy
Mean Girls
Sin City
Star Wars: Episode III - Revenge of the Sith
Batman Begins
The Departed
The Prestige
V for Vendetta
Casino Royale
Transformers
The Dark Knight
Iron Man
Quantum of Solace
Tropic Thunder
G.I. Joe: The Rise of Cobra
The Hangover
Inglourious Basterds
Star Trek
Taken
Up
X-Men Origins: Wolverine
Zombieland
2012
Avatar
Despicable Me
Grown Ups
How to Train Your Dragon
Inception
Iron Man 2
Kick-Ass
RED
Shutter Island
TRON: Legacy
Toy Story 3
Drive
Fast Five
Harry Potter and the Deathly Hallows: Part 2
Limitless
Pirates of the Caribbean: On Stranger Tides
X-Men: First Class
The Girl with the Dragon Tattoo
The Help
In Time
21 Jump Street
The Amazing Spider-Man
American Reunion
The Avengers
Battleship
The Bourne Legacy
Brave
The Cabin in the Woods
The Campaign
Cloud Atlas
The Dark Knight Rises
Dark Shadows
Django Unchained
Dredd
End of Watch
The Expendables 2
Flight
The Guilt Trip
Here Comes the Boom
The Hobbit: An Unexpected Journey
Hotel Transylvania
Jack Reacher
John Carter
Killing Them Softly
Lawless
Life of Pi
Looper
Magic Mike
Man on a Ledge
The Man with the Iron Fists
The Master
Men in Black 3
Parental Guidance
Project X
Prometheus
Red Dawn
Rise of the Guardians
Savages
Seven Psychopaths
Sinister
Skyfall
Snow White and the Huntsman
Taken 2
Ted
That's My Boy
This Is 40
Total Recall
Promised Land
Wreck-It Ralph
Jack the Giant Slayer
Oz: The Great and Powerful
A Good Day to Die Hard
Trance
Side Effects
Spring Breakers
The Incredible Burt Wonderstone
Disconnect
Mud
The Company You Keep
Olympus Has Fallen
The Place Beyond the Pines
G.I. Joe: Retaliation
The Croods
A Haunted House
World War Z
Oblivion
Ender's Game
The Hobbit: The Desolation of Smaug
Man of Steel
Pacific Rim
The Hunger Games: Catching Fire
The Lone Ranger
The Wolverine
Elysium
After Earth
Iron Man 3
This Is the End
R.I.P.D.
Thor: The Dark World
Star Trek Into Darkness
Now You See Me
The Hangover Part III
Kick-Ass 2
The Lords of Salem
Iron Sky
The Impossible
Filly Brown
Antiviral
Anna Karenina
The Cloth
What Richard Did
Stand Up Guys
Tomorrow You're Gone
Not Fade Away
Any Day Now
Under the Bed
Koala Kid
The Boondock Saints
The Evil Dead
42
Evil Dead
Scary Movie 5
Broken City
Gangster Squad
Fast & Furious 6
Pain & Gain
The Numbers Station
Mama
Pawn
300: Rise of an Empire
Temptation: Confessions of a Marriage Counselor
The Way Way Back
Grown Ups 2
Dark Skies
Assassins Run
Percy Jackson: Sea of Monsters
The Bling Ring
Identity Thief
The Big Wedding
Welcome to the Punch
Only God Forgives
Devils of War
Movie 43
The Haunting in Connecticut 2: Ghosts of Georgia
The Call
Crush
Hansel & Gretel: Witch Hunters
The Purge
Snitch
The Godfather: Part II
One Flew Over the Cuckoo's Nest
Star Wars: Episode V - The Empire Strikes Back
Raiders of the Lost Ark
Apocalypse Now
Alien
Blade Runner
E.T. the Extra-Terrestrial
The Outsiders
Scarface
Star Wars: Episode VI - Return of the Jedi
Ghostbusters
The Terminator
Full Metal Jacket
Die Hard
Leon: The Professional
The Usual Suspects
Heat
Independence Day
Good Will Hunting
Armageddon
The Truman Show
American Beauty
Big Daddy
The Green Mile
The Mummy
Office Space
The Sixth Sense
Toy Story 2
American Psycho
Scary Movie
Snatch
"Monsters, Inc."
Men in Black II
Red Dragon
Spider-Man
Spirited Away
Star Wars: Episode II - Attack of the Clones
The Italian Job
The Matrix Reloaded
Pirates of the Caribbean: The Curse of the Black Pearl
Big Fish
Kill Bill: Vol. 1
DodgeBall: A True Underdog Story
EuroTrip
Harry Potter and the Prisoner of Azkaban
The Incredibles
Napoleon Dynamite
Shaun of the Dead
Crash
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Harry Potter and the Goblet of Fire
Cars
Pan's Labyrinth
Superman Returns
Talladega Nights: The Ballad of Ricky Bobby
X-Men: The Last Stand
The Bourne Ultimatum
Live Free or Die Hard
No Country for Old Men
Ratatouille
Superbad
There Will Be Blood
Jumper
Gran Torino
The Incredible Hulk
Pineapple Express
RockNRolla
Role Models
Step Brothers
Wanted
District 9
Harry Potter and the Half-Blood Prince
Law Abiding Citizen
Terminator Salvation
Transformers: Revenge of the Fallen
Watchmen
Sherlock Holmes
The A-Team
Alice in Wonderland
Black Swan
The Book of Eli
Clash of the Titans
Due Date
The Expendables
Get Him to the Greek
Harry Potter and the Deathly Hallows: Part 1
The Other Guys
Percy Jackson & the Olympians: The Lightning Thief
Robin Hood
Salt
The Town
Bad Teacher
Battle: Los Angeles
Cars 2
The Change-Up
Cowboys & Aliens
Green Lantern
The Hangover Part II
Horrible Bosses
I Am Number Four
Paul
Rio
Rise of the Planet of the Apes
Scream 4
Source Code
Sucker Punch
50/50
Contagion
The Descendants
The Ides of March
Immortals
Real Steel
Sherlock Holmes: A Game of Shadows
Tinker Tailor Soldier Spy
We Bought a Zoo
Abraham Lincoln: Vampire Hunter
Alex Cross
Chasing Mavericks
Chernobyl Diaries
Chronicle
The Collection
Contraband
The Dictator
Fun Size
The Grey
Haywire
House at the End of the Street
Ice Age: Continental Drift
Lockout
The Lorax
Madagascar 3: Europe's Most Wanted
The Odd Life of Timothy Green
ParaNorman
Premium Rush
The Raven
Resident Evil: Retribution
Safe House
Silent Hill: Revelation 3D
Wanderlust
The Watch
Wrath of the Titans
The Last Stand
Snowpiercer
Stoker
Monsters University
Carrie
Despicable Me 2
Anchorman 2: The Legend Continues
White House Down
Riddick
Oldboy
The Story of Luke
Stolen
Beasts of the Southern Wild
Deadfall
On the Road
The Paperboy
The Tall Man
John Dies at the End
Great Expectations
The Awakening
Shame
The Best Exotic Marigold Hotel
Moon
Fast & Furious
The Hurt Locker
Memento
Donnie Darko
Coffee and Cigarettes
American History X
Trainspotting
Reservoir Dogs
Dazed and Confused
The Shining
Noah
Guardians of the Galaxy
Teenage Mutant Ninja Turtles
The Expendables 3
Java Heat
Dead Man Down
Sin City: A Dame to Kill For
21 & Over
Parker
Till We Meet Again
Escape from Planet Earth
A Resurrection
The Internship
Epic
Revelation Road: The Beginning of the End
Jaws
The Man with the Golden Gun
Taxi Driver
Aliens
Platoon
Stand by Me
Predator
Back to the Future Part II
Dead Poets Society
Indiana Jones and the Last Crusade
Rain Man
Who Framed Roger Rabbit
Home Alone
Unforgiven
Army of  Darkness
The Sandlot
The Crow
Dumb and Dumber
Twelve Monkeys
Fargo
The Rock
Boogie Nights
The Fifth Element
L.A. Confidential
Liar Liar
The Lost World: Jurassic Park
Men in Black
Fear and Loathing in Las Vegas
Stepmom
Magnolia
Almost Famous
"O Brother, Where Art Thou?"
The Fast and the Furious
Jurassic Park III
Ocean's Eleven
Scary Movie 2
Shrek
Training Day
8 Mile
The Bourne Identity
Harry Potter and the Chamber of Secrets
Minority Report
28 Days Later...
Lost in Translation
Old School
School of Rock
X2: X-Men United
Cheaper by the Dozen
The Matrix Revolutions
Mystic River
Scary Movie 3
The Bourne Supremacy
The Butterfly Effect
Collateral
"I, Robot"
Kill Bill: Vol. 2
Million Dollar Baby
Spider-Man 2
Van Helsing
Madagascar
The Sisterhood of the Traveling Pants
Charlie and the Chocolate Factory
The Dukes of Hazzard
Fantastic Four
The Island
Serenity
War of the Worlds
The Fast and the Furious: Tokyo Drift
Inside Man
Pirates of the Caribbean: Dead Man's Chest
Scary Movie 4
Silent Hill
Blood Diamond
Harry Potter and the Order of the Phoenix
Hitman
Hot Fuzz
I Am Legend
The Mist
Pirates of the Caribbean: At World's End
Spider-Man 3
Zodiac
Hancock
Kung Fu Panda
Seven Pounds
Angels & Demons
Knowing
Couples Retreat
The Lovely Bones
The Karate Kid
Knight and Day
The Last Airbender
Megamind
Predators
Shrek Forever After
Unstoppable
Drive Angry
The Green Hornet
Hanna
Insidious
Kung Fu Panda 2
Red Riding Hood
Unknown
Your Highness
Colombiana
Extremely Loud & Incredibly Close
Killer Elite
The Muppets
Puss in Boots
Tower Heist
War Horse
Act of Valor
The Cold Light of Day
Frankenweenie
Gone
Journey 2: The Mysterious Island
The Lucky One
Mirror Mirror
Paranormal Activity 4
The Possession
The Raid
Trouble with the Curve
Underworld: Awakening
The Woman in Black
American Mary
The World's End
Erased
Lay the Favorite
Robot & Frank
Would You Rather
Bullet to the Head
Gambit
Red Lights
Arbitrage
The Baytown Outlaws
The Tree of Life
Killer Joe
Winter's Bone
The Road
In Bruges
Sunshine
Children of Men
The Machinist
Like Minds
Equilibrium
"Lock, Stock and Two Smoking Barrels"
Interstellar
Godzilla
Before Midnight
The Heat
The Conjuring
The Rocky Horror Picture Show
Monty Python and the Holy Grail
The Exorcist
Rocky
Superman
The Thing
Terms of Endearment
Indiana Jones and the Temple of Doom
The NeverEnding Story
The Lost Boys
Spaceballs
Beetlejuice
Batman
The Godfather: Part III
Basic Instinct
A Few Good Men
The Secret Garden
True Romance
What's Eating Gilbert Grape
True Lies
Die Hard: With a Vengeance
Friday
Hackers
From Dusk Till Dawn
The Neverending Story III: Escape from Fantasia
A Time to Kill
Mars Attacks!
Scream
The Game
Jackie Brown
Starship Troopers
Mulan
A Bug's Life
Eyes Wide Shut
Cast Away
Gone In Sixty Seconds
Jay and Silent Bob Strike Back
The Mummy Returns
Not Another Teen Movie
Planet of the Apes
Zoolander
Super Troopers
Die Another Day
Ice Age
Resident Evil
The Ring
2 Fast 2 Furious
Anger Management
Hulk
Identity
Wrong Turn
Bad Santa
The Chronicles of Riddick
Dawn of the Dead
The Day After Tomorrow
Lemony Snicket's A Series of Unfortunate Events
Man on Fire
Ocean's Twelve
Saw
Shrek 2
White Chicks
The Amityville Horror
Constantine
Cheaper by the Dozen 2
Land of the Dead
Crank
The Da Vinci Code
Grandma's Boy
Little Miss Sunshine
Lucky Number Slevin
Apocalypto
28 Weeks Later
August Rush
Bridge to Terabithia
Evan Almighty
Gone Baby Gone
The Number 23
Ocean's Thirteen
Sweeney Todd: The Demon Barber of Fleet Street
Cloverfield
Never Back Down
Rambo
Paranormal Activity
21
Body of Lies
Bolt
The Day the Earth Stood Still
Death Race
Get Smart
Hellboy II: The Golden Army
Indiana Jones and the Kingdom of the Crystal Skull
Journey to the Center of the Earth
9
Cloudy with a Chance of Meatballs
Gamer
The Haunting in Connecticut
The Imaginarium of Doctor Parnassus
The Last House on the Left
The Men Who Stare at Goats
Monsters vs Aliens
My Sister's Keeper
Orphan
Pandorum
Precious
Push
The Chronicles of Narnia: The Voyage of the Dawn Treader
Diary of a Wimpy Kid
Faster
Hot Tub Time Machine
Little Fockers
Machete
Piranha 3D
Resident Evil: Afterlife
The Sorcerer's Apprentice
Hop
The Mechanic
Priest
The Smurfs
30 Minutes or Less
The Darkest Hour
Fright Night
Happy Feet Two
The Sitter
Ghost Rider: Spirit of Vengeance
People Like Us
The Pirates! In an Adventure with Scientists!
The Three Stooges
Upstream Color
Serena
Sightseers
Piranha 3DD
Cosmopolis
The Angels' Share
Zambezia
The Bay
The Factory
So Undercover
Quartet
Liberal Arts
The Sweeney
Get the Gringo
Dead Before Dawn 3D
Wrong Turn 5: Bloodlines
Shadow Dancer
The Speed of Thought
We Need to Talk About Kevin
Hick
This Must Be the Place
Another Earth
Melancholia
Tucker and Dale vs Evil
Antichrist
Death Proof
Lars and the Real Girl
Kiss Kiss Bang Bang
Mulholland Drive
Kids
The Blues Brothers
The Hobbit: The Battle of the Five Armies
The Maze Runner
RoboCop
RED 2
Cheech & Chong's Animated Movie
Blazing Saddles
The Deer Hunter
TRON
Police Academy
Big Trouble in Little China
Labyrinth
Three Men and a Baby
Say Anything...
Back to the Future Part III
Die Hard 2
Point Break
My Cousin Vinny
Scent of a Woman
Mrs. Doubtfire
The Nightmare Before Christmas
Ace Ventura: Pet Detective
Natural Born Killers
Waterworld
Austin Powers: International Man of Mystery
Con Air
The Devil's Advocate
Dark City
Wild Things
Blade
Enemy of the State
Rush Hour
The Thin Red Line
The Iron Giant
Sleepy Hollow
Pitch Black
"Dude, Where’s My Car?"
The Emperor's New Groove
Mission: Impossible II
The Patriot
Traffic
Unbreakable
A.I. Artificial Intelligence
Atlantis: The Lost Empire
Austin Powers in Goldmember
Lilo & Stitch
Scooby-Doo
Signs
The Transporter
Bruce Almighty
The League of Extraordinary Gentlemen
Phone Booth
S.W.A.T.
Terminator 3: Rise of the Machines
Harold & Kumar Go to White Castle
Hellboy
National Treasure
The Passion of the Christ
The Punisher
Resident Evil: Apocalypse
The Terminal
The Hitchhiker's Guide to the Galaxy
The Longest Yard
The Pacifier
xXx: State of the Union
Lord of War
Accepted
The Hills Have Eyes
Over the Hedge
Thank You for Smoking
Underworld: Evolution
Déjà Vu
Eragon
Night at the Museum
1408
3:10 to Yuma
Beowulf
The Bucket List
Epic Movie
Fracture
Ghost Rider
Hannibal Rising
Meet the Robinsons
Michael Clayton
Next
Shrek the Third
Smokin' Aces
Horton Hears a Who!
Burn After Reading
The Chronicles of Narnia: Prince Caspian
Eagle Eye
The Happening
Madagascar: Escape 2 Africa
Max Payne
You Don't Mess With the Zohan
The Collector
Coraline
Drag Me to Hell
An Education
Funny People
Jennifer's Body
Race to Witch Mountain
State of Play
Surrogates
The Uninvited
Fantastic Mr. Fox
The Fourth Kind
Where the Wild Things Are
The American
Green Zone
The Kids Are All Right
Legion
Let Me In
Letters to Juliet
A Nightmare on Elm Street
Wall Street: Money Never Sleeps
Our Idiot Brother
Final Destination 5
Jack and Jill
Johnny English Reborn
A Very Harold & Kumar Christmas
The Apparition
Cirque du Soleil: Worlds Away
Sparkle
Inside Llewyn Davis
Chinese Zodiac
Bad Kids Go to Hell
The Truth
The Thompsons
Small Apartments
Smashed
Struck by Lightning
Blitz
Butter
Carnage
The Innkeepers
Bernie
The Inbetweeners Movie
