writer
Sergey Veremeenko
Marc Guggenheim
Rick Riordan
Sofia Coppola
Nancy Jo Sales
Jerry Eeten
Justin Zackham
Jean-Stéphane Bron
Karine Sudan
Eran Creevy
Nicolas Winding Refn
Eli Dorsey
Rocky Russo
Jeremy Sosenko
Ricky Blitt
Bill O'Malley
Will Graham
Jack Kukoda
Matt Portenoy
Claes Kjellstrom
Jonas Wittenmark
Tobias Carlson
Will Carlough
Jonathan van Tulleken
Elizabeth Shapiro
Patrik Forsberg
Olle Sarri
Jacob Fleisher
Greg Pritikin
James Gunn
Steve Baker
Bob Odenkirk
David Coggeshall
Richard D'Ovidio
Nicole D'Ovidio
Jon Bokenkamp
Sonny Mallhi
Tommy Wirkola
James DeMonaco
Ric Roman Waugh
Francis Ford Coppola
Mario Puzo
Lawrence Hauben
Bo Goldman
Ken Kesey
Dale Wasserman
Leigh Brackett
Lawrence Kasdan
Philip Kaufman
Michael Herr
Joseph Conrad
Hampton Fancher
David Webb Peoples
Philip K. Dick
Melissa Mathison
Kathleen Rowell
S.E. Hinton
Howard Hawks
Ben Hecht
Armitage Trail
Dan Aykroyd
Harold Ramis
Rick Moranis
Gale Anne Hurd
William Wisher Jr
Gustav Hasford
Stanley Kubrick
Jeb Stuart
Steven E. de Souza
Michael Mann
Dean Devlin
Ben Affleck
Jonathan Hensleigh
J.J. Abrams
Robert Roy Pool
Alan Ball
Steve Franks
Lloyd Fonvielle
Kevin Jarre
John L. Balderston
Nina Wilcox Putnam
Richard Schayer
Mike Judge
Ash Brannon
Rita Hsiao
Doug Chamberlin
Chris Webb
Bret Easton Ellis
Mary Harron
Guinevere Turner
Shawn Wayans
Buddy Johnson
Phil Beauman
Jason Friedberg
Aaron Seltzer
Guy Ritchie
Jill Culton
Jeff Pidgeon
Ralph Eggleston
Daniel Gerson
Robert L. Baird
Robert Gordon
Barry Fanaro
Hayao Miyazaki
Jonathan Hales
Troy Kennedy-Martin
Donna Powers
Wayne Powers
Daniel Wallace
